price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price_per_sqft,bed_bath_ratio
13300000,7420,4,2,3,1,0,0,0,1,2,1,2,1792.4528301886792,2.0
12250000,8960,4,4,4,1,0,0,0,1,3,0,2,1367.1875,1.0
12250000,9960,3,2,2,1,0,1,0,0,2,1,1,1229.9196787148594,1.5
12215000,7500,4,2,2,1,0,1,0,1,3,1,2,1628.6666666666667,2.0
11410000,7420,4,1,2,1,1,1,0,1,2,0,2,1537.7358490566037,4.0
10850000,7500,3,3,1,1,0,1,0,1,2,1,1,1446.6666666666667,1.0
10150000,8580,4,3,4,1,0,0,0,1,2,1,1,1182.983682983683,1.3333333333333333
9870000,8100,4,1,2,1,1,1,0,1,2,1,2,1218.5185185185185,4.0
9800000,5750,3,2,4,1,1,0,0,1,1,1,0,1704.3478260869565,1.5
9800000,13200,3,1,2,1,0,1,0,1,2,1,2,742.4242424242424,3.0
9681000,6000,4,3,2,1,1,1,1,0,2,0,1,1613.5,1.3333333333333333
9310000,6550,4,2,2,1,0,0,0,1,1,1,1,1421.3740458015268,2.0
9240000,3500,4,2,2,1,0,0,1,0,2,0,2,2640.0,2.0
9240000,7800,3,2,2,1,0,0,0,0,0,1,1,1184.6153846153845,1.5
9100000,6000,4,1,2,1,0,1,0,0,2,0,1,1516.6666666666667,4.0
9100000,6600,4,2,2,1,1,1,0,1,1,1,0,1378.7878787878788,2.0
8960000,8500,3,2,4,1,0,0,0,1,2,0,2,1054.1176470588234,1.5
8890000,4600,3,2,2,1,1,0,0,1,2,0,2,1932.608695652174,1.5
8855000,6420,3,2,2,1,0,0,0,1,1,1,1,1379.2834890965732,1.5
8750000,4320,3,1,2,1,0,1,1,0,2,0,1,2025.462962962963,3.0
8680000,7155,3,2,1,1,1,1,0,1,2,0,0,1213.1376659678547,1.5
8645000,8050,3,1,1,1,1,1,0,1,1,0,2,1073.9130434782608,3.0
8645000,4560,3,2,2,1,1,1,0,1,1,0,2,1895.8333333333333,1.5
8575000,8800,3,2,2,1,0,0,0,1,2,0,2,974.4318181818181,1.5
8540000,6540,4,2,2,1,1,1,0,1,2,1,2,1305.8103975535169,2.0
8463000,6000,3,2,4,1,1,1,0,1,0,1,1,1410.5,1.5
8400000,8875,3,1,1,1,0,0,0,0,1,0,1,946.4788732394367,3.0
8400000,7950,5,2,2,1,0,1,1,0,2,0,0,1056.6037735849056,2.5
8400000,5500,4,2,2,1,0,1,0,1,1,1,1,1527.2727272727273,2.0
8400000,7475,3,2,4,1,0,0,0,1,2,0,0,1123.7458193979933,1.5
8400000,7000,3,1,4,1,0,0,0,1,2,0,1,1200.0,3.0
8295000,4880,4,2,2,1,0,0,0,1,1,1,2,1699.795081967213,2.0
8190000,5960,3,3,2,1,1,1,0,0,1,0,0,1374.1610738255033,1.0
8120000,6840,5,1,2,1,1,1,0,1,1,0,2,1187.1345029239767,5.0
8080940,7000,3,2,4,1,0,0,0,1,2,0,2,1154.42,1.5
8043000,7482,3,2,3,1,0,0,1,0,1,1,2,1074.979951884523,1.5
7980000,9000,4,2,4,1,0,0,0,1,2,0,2,886.6666666666666,2.0
7962500,6000,3,1,4,1,1,0,0,1,2,0,0,1327.0833333333333,3.0
7910000,6000,4,2,4,1,0,0,0,1,1,0,1,1318.3333333333333,2.0
7875000,6550,3,1,2,1,0,1,0,1,0,1,2,1202.2900763358778,3.0
7840000,6360,3,2,4,1,0,0,0,1,0,1,2,1232.7044025157234,1.5
7700000,6480,3,2,4,1,0,0,0,1,2,0,0,1188.2716049382716,1.5
7700000,6000,4,2,4,1,0,0,0,0,2,0,1,1283.3333333333333,2.0
7560000,6000,4,2,4,1,0,0,0,1,1,0,2,1260.0,2.0
7560000,6000,3,2,3,1,0,0,0,1,0,0,1,1260.0,1.5
7525000,6000,3,2,4,1,0,0,0,1,1,0,2,1254.1666666666667,1.5
7490000,6600,3,1,4,1,0,0,0,1,3,1,2,1134.8484848484848,3.0
7455000,4300,3,2,2,1,0,1,0,0,1,0,0,1733.7209302325582,1.5
7420000,7440,3,2,1,1,1,1,0,1,0,1,1,997.3118279569892,1.5
7420000,7440,3,2,4,1,0,0,0,0,1,1,0,997.3118279569892,1.5
7420000,6325,3,1,4,1,0,0,0,1,1,0,0,1173.1225296442688,3.0
7350000,6000,4,2,4,1,1,0,0,1,1,0,2,1225.0,2.0
7350000,5150,3,2,4,1,0,0,0,1,2,0,1,1427.1844660194174,1.5
7350000,6000,3,2,2,1,1,0,0,1,1,0,1,1225.0,1.5
7350000,6000,3,1,2,1,0,0,0,1,1,0,0,1225.0,3.0
7343000,11440,4,1,2,1,0,1,0,0,1,1,1,641.8706293706293,4.0
7245000,9000,4,2,4,1,1,0,0,1,1,1,2,805.0,2.0
7210000,7680,4,2,4,1,1,0,0,1,1,0,1,938.8020833333334,2.0
7210000,6000,3,2,4,1,1,0,0,1,1,0,2,1201.6666666666667,1.5
7140000,6000,3,2,2,1,1,0,0,0,1,0,1,1190.0,1.5
7070000,8880,2,1,1,1,0,0,0,1,1,0,1,796.1711711711712,2.0
7070000,6240,4,2,2,1,0,0,0,1,1,0,2,1133.0128205128206,2.0
7035000,6360,4,2,3,1,0,0,0,1,2,1,2,1106.132075471698,2.0
7000000,11175,3,1,1,1,0,1,0,1,1,1,2,626.3982102908277,3.0
6930000,8880,3,2,2,1,0,1,0,1,1,0,2,780.4054054054054,1.5
6930000,13200,2,1,1,1,0,1,1,0,1,0,2,525.0,2.0
6895000,7700,3,2,1,1,0,0,0,0,2,0,0,895.4545454545455,1.5
6860000,6000,3,1,1,1,0,0,0,1,1,0,2,1143.3333333333333,3.0
6790000,12090,4,2,2,1,0,0,0,0,2,1,2,561.6211745244003,2.0
6790000,4000,3,2,2,1,0,1,0,1,0,1,1,1697.5,1.5
6755000,6000,4,2,4,1,0,0,0,1,0,0,0,1125.8333333333333,2.0
6720000,5020,3,1,4,1,0,0,0,1,0,1,0,1338.6454183266933,3.0
6685000,6600,2,2,4,1,0,1,0,0,0,1,2,1012.8787878787879,1.0
6650000,4040,3,1,2,1,0,1,1,0,1,0,2,1646.039603960396,3.0
6650000,4260,4,2,2,1,0,0,1,0,0,0,1,1561.0328638497654,2.0
6650000,6420,3,2,3,1,0,0,0,1,0,1,2,1035.8255451713396,1.5
6650000,6500,3,2,3,1,0,0,0,1,0,1,2,1023.0769230769231,1.5
6650000,5700,3,1,1,1,1,1,0,1,2,1,2,1166.6666666666667,3.0
6650000,6000,3,2,3,1,1,0,0,1,0,0,2,1108.3333333333333,1.5
6629000,6000,3,1,2,1,0,0,1,0,1,1,1,1104.8333333333333,3.0
6615000,4000,3,2,2,1,0,1,0,1,1,0,1,1653.75,1.5
6615000,10500,3,2,1,1,0,1,0,1,1,1,2,630.0,1.5
6580000,6000,3,2,4,1,0,0,0,1,0,0,1,1096.6666666666667,1.5
6510000,3760,3,1,2,1,0,0,1,0,2,0,1,1731.3829787234042,3.0
6510000,8250,3,2,3,1,0,0,0,1,0,0,2,789.0909090909091,1.5
6510000,6670,3,1,3,1,0,1,0,0,0,1,0,976.0119940029984,3.0
6475000,3960,3,1,1,1,0,1,0,0,2,0,1,1635.1010101010102,3.0
6475000,7410,3,1,1,1,1,1,0,1,2,1,0,873.8191632928475,3.0
6440000,8580,5,3,2,1,0,0,0,0,2,0,2,750.5827505827506,1.6666666666666667
6440000,5000,3,1,2,1,0,0,0,1,0,0,1,1288.0,3.0
6419000,6750,2,1,1,1,1,1,0,0,2,1,2,950.9629629629629,2.0
6405000,4800,3,2,4,1,1,0,0,1,0,0,2,1334.375,1.5
6300000,7200,3,2,1,1,0,1,0,1,3,0,1,875.0,1.5
6300000,6000,4,2,4,1,0,0,0,0,1,0,1,1050.0,2.0
6300000,4100,3,2,3,1,0,0,0,1,2,0,1,1536.5853658536585,1.5
6300000,9000,3,1,1,1,0,1,0,0,1,1,2,700.0,3.0
6300000,6400,3,1,1,1,1,1,0,1,1,1,1,984.375,3.0
6293000,6600,3,2,3,1,0,0,0,1,0,1,0,953.4848484848485,1.5
6265000,6000,4,1,3,1,1,1,0,0,0,1,0,1044.1666666666667,4.0
6230000,6600,3,2,1,1,0,1,0,1,0,1,0,943.939393939394,1.5
6230000,5500,3,1,3,1,0,0,0,0,1,1,0,1132.7272727272727,3.0
6195000,5500,3,2,4,1,1,0,0,1,1,0,1,1126.3636363636363,1.5
6195000,6350,3,2,3,1,1,0,0,1,0,0,2,975.5905511811023,1.5
6195000,5500,3,2,1,1,1,1,0,0,2,1,2,1126.3636363636363,1.5
6160000,4500,3,1,4,1,0,0,0,1,0,0,0,1368.888888888889,3.0
6160000,5450,4,2,1,1,0,1,0,1,0,1,1,1130.2752293577983,2.0
6125000,6420,3,1,3,1,0,1,0,0,0,1,0,954.0498442367601,3.0
6107500,3240,4,1,3,1,0,0,0,0,1,0,1,1885.030864197531,4.0
6090000,6615,4,2,2,1,1,0,1,0,1,0,1,920.6349206349206,2.0
6090000,6600,3,1,1,1,1,1,0,0,2,1,1,922.7272727272727,3.0
6090000,8372,3,1,3,1,0,0,0,1,2,0,0,727.4247491638796,3.0
6083000,9620,3,1,1,1,0,1,0,0,2,1,2,632.3284823284823,3.0
6020000,6800,2,1,1,1,1,1,0,0,2,0,2,885.2941176470588,2.0
6020000,8000,3,1,1,1,1,1,0,1,2,1,1,752.5,3.0
6020000,6900,3,2,1,1,1,1,0,0,0,1,0,872.463768115942,1.5
5950000,3700,4,1,2,1,1,0,0,1,0,0,2,1608.1081081081081,4.0
5950000,6420,3,1,1,1,0,1,0,1,0,1,2,926.791277258567,3.0
5950000,7020,3,1,1,1,0,1,0,1,2,1,1,847.5783475783476,3.0
5950000,6540,3,1,1,1,1,1,0,0,2,1,2,909.7859327217126,3.0
5950000,7231,3,1,2,1,1,1,0,1,0,1,1,822.8460793804453,3.0
5950000,6254,4,2,1,1,0,1,0,0,1,1,1,951.3911096897986,2.0
5950000,7320,4,2,2,1,0,0,0,0,0,0,2,812.8415300546449,2.0
5950000,6525,3,2,4,1,0,0,0,0,1,0,2,911.8773946360153,1.5
5880000,7160,3,1,1,1,0,1,0,0,2,1,0,821.2290502793296,3.0
5880000,6500,3,2,3,1,0,0,0,1,0,0,0,904.6153846153846,1.5
5873000,5500,3,1,3,1,1,0,0,1,1,0,2,1067.8181818181818,3.0
5873000,11460,3,1,3,1,0,0,0,0,2,1,1,512.478184991274,3.0
5866000,4800,3,1,1,1,1,1,0,0,0,0,0,1222.0833333333333,3.0
5810000,5828,4,1,4,1,1,0,0,0,0,0,1,996.9114619080302,4.0
5810000,5200,3,1,3,1,0,0,0,1,0,0,1,1117.3076923076924,3.0
5810000,4800,3,1,3,1,0,0,0,1,0,0,0,1210.4166666666667,3.0
5803000,7000,3,1,1,1,0,1,0,0,2,1,1,829.0,3.0
5775000,6000,3,2,4,1,0,0,0,1,0,0,0,962.5,1.5
5740000,5400,4,2,2,1,0,0,0,1,2,0,0,1062.962962962963,2.0
5740000,4640,4,1,2,1,0,0,0,0,1,0,1,1237.0689655172414,4.0
5740000,5000,3,1,3,1,0,0,0,1,0,0,1,1148.0,3.0
5740000,6360,3,1,1,1,1,1,0,1,2,1,2,902.5157232704403,3.0
5740000,5800,3,2,4,1,0,0,0,1,0,0,0,989.6551724137931,1.5
5652500,6660,4,2,2,1,1,1,0,0,1,1,1,848.7237237237238,2.0
5600000,10500,4,2,2,1,0,0,0,0,1,0,1,533.3333333333334,2.0
5600000,4800,5,2,3,0,0,1,1,0,0,0,0,1166.6666666666667,2.5
5600000,4700,4,1,2,1,1,1,0,1,1,0,2,1191.4893617021276,4.0
5600000,5000,3,1,4,1,0,0,0,0,0,0,2,1120.0,3.0
5600000,10500,2,1,1,1,0,0,0,0,1,0,1,533.3333333333334,2.0
5600000,5500,3,2,2,1,0,0,0,0,1,0,1,1018.1818181818181,1.5
5600000,6360,3,1,3,1,0,0,0,0,0,1,1,880.503144654088,3.0
5600000,6600,4,2,1,1,0,1,0,0,0,1,1,848.4848484848485,2.0
5600000,5136,3,1,2,1,1,1,0,1,0,1,0,1090.342679127726,3.0
5565000,4400,4,1,2,1,0,0,0,1,2,1,1,1264.7727272727273,4.0
5565000,5400,5,1,2,1,1,1,0,1,0,1,2,1030.5555555555557,5.0
5530000,3300,3,3,2,1,0,1,0,0,0,0,1,1675.7575757575758,1.0
5530000,3650,3,2,2,1,0,0,0,0,2,0,1,1515.0684931506848,1.5
5530000,6100,3,2,1,1,0,1,0,0,2,1,2,906.5573770491803,1.5
5523000,6900,3,1,1,1,1,1,0,0,0,1,1,800.4347826086956,3.0
5495000,2817,4,2,2,0,1,1,0,0,1,0,2,1950.6567270145545,2.0
5495000,7980,3,1,1,1,0,0,0,0,2,0,1,688.5964912280701,3.0
5460000,3150,3,2,1,1,1,1,0,1,0,0,2,1733.3333333333333,1.5
5460000,6210,4,1,4,1,1,0,0,1,0,0,2,879.2270531400966,4.0
5460000,6100,3,1,3,1,1,0,0,1,0,1,1,895.0819672131148,3.0
5460000,6600,4,2,2,1,1,1,0,0,0,1,1,827.2727272727273,2.0
5425000,6825,3,1,1,1,1,1,0,1,0,1,1,794.8717948717949,3.0
5390000,6710,3,2,2,1,1,1,0,0,1,1,2,803.2786885245902,1.5
5383000,6450,3,2,1,1,1,1,1,0,0,0,0,834.5736434108527,1.5
5320000,7800,3,1,1,1,0,1,0,1,2,1,0,682.0512820512821,3.0
5285000,4600,2,2,1,1,0,0,0,1,2,0,1,1148.9130434782608,1.0
5250000,4260,4,1,2,1,0,1,0,1,0,0,2,1232.394366197183,4.0
5250000,6540,4,2,2,0,0,0,0,1,0,0,1,802.7522935779816,2.0
5250000,5500,3,2,1,1,0,1,0,0,0,0,1,954.5454545454545,1.5
5250000,10269,3,1,1,1,0,0,0,0,1,1,1,511.2474437627812,3.0
5250000,8400,3,1,2,1,1,1,0,1,2,1,0,625.0,3.0
5250000,5300,4,2,1,1,0,0,0,1,0,1,0,990.566037735849,2.0
5250000,3800,3,1,2,1,1,1,0,0,1,1,0,1381.578947368421,3.0
5250000,9800,4,2,2,1,1,0,0,0,2,0,1,535.7142857142857,2.0
5250000,8520,3,1,1,1,0,0,0,1,2,0,2,616.1971830985915,3.0
5243000,6050,3,1,1,1,0,1,0,0,0,1,1,866.6115702479339,3.0
5229000,7085,3,1,1,1,1,1,0,0,2,1,1,738.0381086803105,3.0
5215000,3180,3,2,2,1,0,0,0,0,2,0,1,1639.937106918239,1.5
5215000,4500,4,2,1,0,0,1,0,1,2,0,1,1158.888888888889,2.0
5215000,7200,3,1,2,1,1,1,0,0,1,1,2,724.3055555555555,3.0
5145000,3410,3,1,2,0,0,0,0,1,0,0,1,1508.7976539589442,3.0
5145000,7980,3,1,1,1,0,0,0,0,1,1,1,644.7368421052631,3.0
5110000,3000,3,2,2,1,1,1,0,0,0,0,2,1703.3333333333333,1.5
5110000,3000,3,1,2,1,0,1,0,0,0,0,0,1703.3333333333333,3.0
5110000,11410,2,1,2,1,0,0,0,0,0,1,2,447.85276073619633,2.0
5110000,6100,3,1,1,1,0,1,0,1,0,1,1,837.7049180327868,3.0
5075000,5720,2,1,2,1,0,0,0,1,0,1,0,887.2377622377622,2.0
5040000,3540,2,1,1,0,1,1,0,0,0,0,1,1423.7288135593221,2.0
5040000,7600,4,1,2,1,0,0,0,1,2,0,2,663.1578947368421,4.0
5040000,10700,3,1,2,1,1,1,0,0,0,0,1,471.02803738317755,3.0
5040000,6600,3,1,1,1,1,1,0,0,0,1,2,763.6363636363636,3.0
5033000,4800,2,1,1,1,1,1,0,0,0,0,1,1048.5416666666667,2.0
5005000,8150,3,2,1,1,1,1,0,0,0,0,1,614.1104294478528,1.5
4970000,4410,4,3,2,1,0,1,0,0,2,0,1,1126.984126984127,1.3333333333333333
4970000,7686,3,1,1,1,1,1,1,0,0,0,1,646.6302367941712,3.0
4956000,2800,3,2,2,0,0,1,0,1,1,0,1,1770.0,1.5
4935000,5948,3,1,2,1,0,0,0,1,0,0,1,829.6906523201076,3.0
4907000,4200,3,1,2,1,0,0,0,0,1,0,2,1168.3333333333333,3.0
4900000,4520,3,1,2,1,0,1,0,1,0,0,1,1084.070796460177,3.0
4900000,4095,3,1,2,0,1,1,0,1,0,0,1,1196.5811965811965,3.0
4900000,4120,2,1,1,1,0,1,0,0,1,0,1,1189.3203883495146,2.0
4900000,5400,4,1,2,1,0,0,0,0,0,0,1,907.4074074074074,4.0
4900000,4770,3,1,1,1,1,1,0,0,0,0,1,1027.2536687631027,3.0
4900000,6300,3,1,1,1,0,0,0,1,2,0,1,777.7777777777778,3.0
4900000,5800,2,1,1,1,1,1,0,1,0,0,1,844.8275862068965,2.0
4900000,3000,3,1,2,1,0,1,0,1,0,0,1,1633.3333333333333,3.0
4900000,2970,3,1,3,1,0,0,0,0,0,0,1,1649.8316498316499,3.0
4900000,6720,3,1,1,1,0,0,0,0,0,0,0,729.1666666666666,3.0
4900000,4646,3,1,2,1,1,1,0,0,2,0,1,1054.6706844597504,3.0
4900000,12900,3,1,1,1,0,0,0,0,2,0,2,379.84496124031006,3.0
4893000,3420,4,2,2,1,0,1,0,1,2,0,1,1430.701754385965,2.0
4893000,4995,4,2,1,1,0,1,0,0,0,0,1,979.5795795795796,2.0
4865000,4350,2,1,1,1,0,1,0,0,0,0,0,1118.3908045977012,2.0
4830000,4160,3,1,3,1,0,0,0,0,0,0,0,1161.0576923076924,3.0
4830000,6040,3,1,1,1,0,0,0,0,2,1,1,799.6688741721854,3.0
4830000,6862,3,1,2,1,0,0,0,1,2,1,2,703.8764208685515,3.0
4830000,4815,2,1,1,1,0,0,0,1,0,1,1,1003.1152647975077,2.0
4795000,7000,3,1,2,1,0,1,0,0,0,0,0,685.0,3.0
4795000,8100,4,1,4,1,0,1,0,1,2,0,1,591.9753086419753,4.0
4767000,3420,4,2,2,1,0,0,0,0,0,0,1,1393.859649122807,2.0
4760000,9166,2,1,1,1,0,1,0,1,2,0,1,519.3104953087498,2.0
4760000,6321,3,1,2,1,0,1,0,1,1,0,2,753.0454042081949,3.0
4760000,10240,2,1,1,1,0,0,0,1,2,1,0,464.84375,2.0
4753000,6440,2,1,1,1,0,0,0,1,3,0,1,738.0434782608696,2.0
4690000,5170,3,1,4,1,0,0,0,1,0,0,1,907.1566731141199,3.0
4690000,6000,2,1,1,1,0,1,0,1,1,0,2,781.6666666666666,2.0
4690000,3630,3,1,2,1,0,0,0,0,2,0,1,1292.0110192837465,3.0
4690000,9667,4,2,2,1,1,1,0,0,1,0,1,485.15568428674874,2.0
4690000,5400,2,1,2,1,0,0,0,0,0,1,1,868.5185185185185,2.0
4690000,4320,3,1,1,1,0,0,0,0,0,1,1,1085.648148148148,3.0
4655000,3745,3,1,2,1,0,1,0,0,0,0,2,1242.9906542056074,3.0
4620000,4160,3,1,1,1,1,1,0,1,0,0,0,1110.576923076923,3.0
4620000,3880,3,2,2,1,0,1,0,0,2,0,1,1190.721649484536,1.5
4620000,5680,3,1,2,1,1,0,0,1,1,0,1,813.3802816901408,3.0
4620000,2870,2,1,2,1,1,1,0,0,0,1,1,1609.7560975609756,2.0
4620000,5010,3,1,2,1,0,1,0,0,0,0,1,922.1556886227545,3.0
4613000,4510,4,2,2,1,0,1,0,0,0,0,1,1022.8381374722838,2.0
4585000,4000,3,1,2,1,0,0,0,0,1,0,2,1146.25,3.0
4585000,3840,3,1,2,1,0,0,0,0,1,1,1,1194.0104166666667,3.0
4550000,3760,3,1,1,1,0,0,0,0,2,0,1,1210.1063829787233,3.0
4550000,3640,3,1,2,1,0,0,0,1,0,0,2,1250.0,3.0
4550000,2550,3,1,2,1,0,1,0,0,0,0,2,1784.313725490196,3.0
4550000,5320,3,1,2,1,1,1,0,0,0,1,1,855.2631578947369,3.0
4550000,5360,3,1,2,1,0,0,0,0,2,1,0,848.8805970149253,3.0
4550000,3520,3,1,1,1,0,0,0,0,0,1,1,1292.6136363636363,3.0
4550000,8400,4,1,4,1,0,0,0,0,3,0,0,541.6666666666666,4.0
4543000,4100,2,2,1,1,1,1,0,0,0,0,1,1108.0487804878048,1.0
4543000,4990,4,2,2,1,1,1,0,0,0,1,2,910.4208416833667,2.0
4515000,3510,3,1,3,1,0,0,0,0,0,0,1,1286.3247863247864,3.0
4515000,3450,3,1,2,1,0,1,0,0,1,0,1,1308.695652173913,3.0
4515000,9860,3,1,1,1,0,0,0,0,0,0,1,457.9107505070994,3.0
4515000,3520,2,1,2,1,0,0,0,0,0,1,2,1282.6704545454545,2.0
4480000,4510,4,1,2,1,0,0,0,1,2,0,1,993.3481152993348,4.0
4480000,5885,2,1,1,1,0,0,0,1,1,0,0,761.2574341546305,2.0
4480000,4000,3,1,2,1,0,0,0,0,2,0,2,1120.0,3.0
4480000,8250,3,1,1,1,0,0,0,0,0,0,2,543.030303030303,3.0
4480000,4040,3,1,2,1,0,0,0,0,1,0,1,1108.9108910891089,3.0
4473000,6360,2,1,1,1,0,1,0,1,1,0,2,703.3018867924528,2.0
4473000,3162,3,1,2,1,0,0,0,1,1,0,2,1414.6110056925995,3.0
4473000,3510,3,1,2,1,0,0,0,0,0,0,1,1274.3589743589744,3.0
4445000,3750,2,1,1,1,1,1,0,0,0,0,1,1185.3333333333333,2.0
4410000,3968,3,1,2,0,0,0,0,0,0,0,1,1111.391129032258,3.0
4410000,4900,2,1,2,1,0,1,0,0,0,0,1,900.0,2.0
4403000,2880,3,1,2,1,0,0,0,0,0,1,1,1528.8194444444443,3.0
4403000,4880,3,1,1,1,0,0,0,0,2,1,0,902.2540983606557,3.0
4403000,4920,3,1,2,1,0,0,0,0,1,0,1,894.9186991869918,3.0
4382000,4950,4,1,2,1,0,0,0,1,0,0,1,885.2525252525253,4.0
4375000,3900,3,1,2,1,0,0,0,0,0,0,0,1121.7948717948718,3.0
4340000,4500,3,2,3,1,0,0,1,0,1,0,2,964.4444444444445,1.5
